PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_C,Embarked_Q,Embarked_S
892,0,3,"Kelly, Mr. James",0,0.5378348738837537,0,0,330911,0.12044923076923077,False,True,False
893,1,3,"Wilkes, Mrs. James (Ellen Needs)",1,0.7336675544414852,1,0,363272,0.1076923076923077,False,False,True
894,0,2,"Myles, Mr. Thomas Francis",0,0.9686667711107629,0,0,240276,0.14903846153846154,False,True,False
895,0,3,"Wirz, Mr. Albert",0,0.4203352655491148,0,0,315154,0.13326923076923075,False,False,True
896,1,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",1,0.3420021933260222,1,1,3101298,0.18903846153846154,False,False,True
897,0,3,"Svensson, Mr. Johan Cervin",0,0.2166692777690741,0,0,7538,0.14192307692307693,False,False,True
898,1,3,"Connolly, Miss. Kate",1,0.46733510888297036,0,0,330972,0.11737230769230769,False,True,False
899,0,2,"Caldwell, Mr. Albert Francis",0,0.4046686511044963,1,1,248738,0.4461538461538462,False,False,True
900,1,3,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",1,0.27933573554754815,0,0,2657,0.11121846153846153,True,False,False
901,0,3,"Davies, Mr. John Samuel",0,0.3263355788814037,2,0,A/4 48871,0.37153846153846154,False,False,True
902,0,3,"Ilieff, Mr. Ylio",0,0.4716056769770607,0,0,349220,0.12147384615384615,False,False,True
903,0,1,"Jones, Mr. Charles Cresson",0,0.7180009399968666,0,0,694,0.4,False,False,True
905,0,2,"Howard, Mr. Benjamin",0,0.9843333855553815,1,0,24065,0.4,False,False,True
906,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",1,0.7336675544414852,1,0,W.E.P. 5734,0.9411538461538461,False,False,True
907,1,2,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",1,0.3733354222152593,1,0,SC/PARIS 2167,0.42647384615384615,True,False,False
908,0,2,"Keane, Mr. Daniel",0,0.545668181106063,0,0,233734,0.19,False,True,False
909,0,3,"Assaf, Mr. Gerios",0,0.3263355788814037,0,0,2692,0.11115384615384614,True,False,False
910,1,3,"Ilmakangas, Miss. Ida Livija",1,0.4203352655491148,1,0,STON/O2. 3101270,0.12192307692307693,False,False,True
